"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBM25",2.55659179516021e-15,1.32574746936225,0.415,0.242,4.12966272672228e-11
"SRSF11",9.33780417118114e-13,0.994849337699507,0.306,0.147,1.50833550777089e-08
"SREK1",1.98495644699921e-10,0.890755678361532,0.2,0.079,3.20630014883782e-06
"RPS2",3.86571622163704e-10,-0.286372903093279,0.964,0.975,6.24429141281031e-06
"CD74",1.26485073610398e-09,-0.476528026336466,0.781,0.828,2.04311339402875e-05
"SFSWAP",2.92343545637937e-09,0.745404214856828,0.133,0.04,4.7222252926896e-05
"SAFB2",4.06479679106518e-09,0.833177243870927,0.304,0.167,6.56586625660758e-05
"RBBP6",4.17723670957084e-09,0.79543124731314,0.542,0.406,6.74749045696978e-05
"RPS8",2.374494978708e-08,-0.272184225457954,0.933,0.97,0.000383552173910703
"TRRAP",3.04491469555002e-08,0.858118990564401,0.114,0.033,0.000491845070772194
"ZC3H13",4.32919873580175e-08,0.66208058672314,0.102,0.027,0.000699295471794056
"DYNC1H1",4.51681228243096e-08,1.01295837471364,0.282,0.167,0.000729600687981072
"UBR4",1.13581161391158e-07,0.704792499287028,0.178,0.08,0.00183467649995138
"PCNT",1.20292353320025e-07,0.63272281493099,0.154,0.062,0.00194308238317836
"CCNL1",1.59907220208417e-07,0.57548020380733,0.451,0.319,0.00258298132802657
"FTH1",1.72789951688542e-07,-0.29999682060449,0.949,0.938,0.00279107608962502
"MDN1",1.9294711544875e-07,0.688779782463111,0.103,0.03,0.00311667475584366
"RPS24",3.14239085672402e-07,-0.283801824624907,0.857,0.9,0.0050759039508663
"RPL7A",1.10320357212413e-06,-0.289568607783436,0.849,0.868,0.0178200473005211
"HDLBP",1.19381296669864e-06,0.88741846881934,0.262,0.161,0.0192836608510831
"BAIAP2",1.30015067247568e-06,0.692253341813994,0.191,0.097,0.0210013338124997
"RPSA",1.3332846852833e-06,-0.327987606227427,0.818,0.878,0.0215365475213812
"UBA52",1.37070402729336e-06,-0.250175758446874,0.911,0.945,0.0221409821528697
"DDIT3",1.38917911156015e-06,0.575047296759208,0.127,0.05,0.0224394101890311
"LGALS1",1.42949057743611e-06,-0.520384064877886,0.428,0.515,0.0230905612973255
"PRPF38B",1.55273844769462e-06,0.578928452154719,0.176,0.085,0.0250813841456112
"RPL18",1.57268746702095e-06,-0.257172579366165,0.864,0.91,0.0254036206547894
"RPL13",1.65739208441963e-06,-0.286331567128822,0.769,0.813,0.0267718543396303
"OPA1",1.85842713803407e-06,0.575597699104676,0.105,0.037,0.0300191735606644
"RRBP1",2.5237084241155e-06,0.878644423435877,0.276,0.169,0.0407654621747376
"RPS18",2.8421066894436e-06,-0.250842896280564,0.932,0.945,0.0459085493545825
"HNRNPH1",3.15683478344465e-06,0.516135471895504,0.293,0.181,0.0509923522569814
"BOLA-DRA",3.79062964742088e-06,-0.466707582923494,0.452,0.545,0.0612300406947895
"UBR5",4.18222489635727e-06,0.473711361207616,0.181,0.092,0.0675554787508589
"CEBPZ",7.04766922864526e-06,0.453342030710484,0.167,0.082,0.113841001050307
"CDK11B",7.81777653410161e-06,0.509607757576679,0.192,0.104,0.126280544355343
"RPS5",1.07246522458343e-05,-0.262586411344634,0.89,0.913,0.173235307726961
"U2AF1",1.28781562604418e-05,0.338295936981773,0.151,0.072,0.208020858074917
"DDX46",1.31778815006786e-05,0.494264747033657,0.134,0.062,0.212862319880461
"HYOU1",1.32563267064852e-05,0.481978739740679,0.112,0.047,0.214129445289856
"SF3B3",1.50717315008891e-05,0.490552919129646,0.138,0.065,0.243453678933862
"CLK1",1.75676840697779e-05,0.485983974296326,0.145,0.07,0.283770800779122
"RBM4",1.83173807131718e-05,0.468150908730724,0.109,0.045,0.295880650659865
"SAFB",1.89200111600384e-05,0.553632261131024,0.292,0.194,0.3056149402681
"VIM",2.33052624245996e-05,-0.416984370991977,0.598,0.659,0.376449903944558
"DDX3X",2.57991125005005e-05,0.37960583718881,0.162,0.084,0.416733064220585
"RTF1",2.7531506333179e-05,0.28745777962387,0.258,0.156,0.444716421799841
"ACIN1",2.89312632401754e-05,0.485638699947881,0.191,0.107,0.467326695118554
"TAF3",3.00396184171685e-05,0.418660721454605,0.136,0.065,0.485229956292523
"TXNDC11",3.02759614926416e-05,0.500269077117998,0.109,0.047,0.489047605990639
"ND2",3.12188679228488e-05,0.605100377859046,0.895,0.831,0.504278373557776
"UTP6",3.27961711140896e-05,0.446027228890371,0.202,0.115,0.529756552005889
"LRPPRC",3.38467538246292e-05,0.448622723558318,0.111,0.048,0.546726614529235
"BCL2A1",3.79555345595639e-05,-0.38381384160344,0.601,0.661,0.613095749740636
"BPTF",3.95202723280712e-05,0.525918362419445,0.232,0.145,0.638370958915335
"ATAD2B",4.26220692129024e-05,0.479497580827489,0.138,0.069,0.688474283996012
"SLC25A6",5.96044572626216e-05,-0.314182559600508,0.743,0.804,0.962790798163126
"NIPBL",8.22980854987453e-05,0.45967166436116,0.254,0.164,1
"HP1BP3",8.33414563901951e-05,0.432184122923876,0.304,0.207,1
"ARHGAP17",8.82418494771823e-05,0.491776193429638,0.144,0.077,1
"RSRC2",9.13586495291517e-05,0.457572827710879,0.197,0.117,1
"ABCF1",9.64498966561145e-05,0.35012791958564,0.126,0.062,1
"TP53INP1",9.66932870473761e-05,0.397006617313492,0.102,0.045,1
"SETD2",9.92167041260074e-05,0.382526233280613,0.115,0.054,1
"CAPRIN1",0.000103263903658247,0.409387011273796,0.123,0.06,1
"TNIP1",0.000118348612001505,0.342299299466458,0.362,0.251,1
"NSFL1C",0.000120055872991015,0.380430384874552,0.105,0.048,1
"SMG1",0.000122042298893084,0.392952099161155,0.231,0.149,1
"TBRG1",0.000132268298412084,0.351319433644971,0.156,0.085,1
"SON",0.000133208850289568,0.351572289867595,0.457,0.348,1
"TXN",0.000149501945611591,-0.520493197339754,0.431,0.498,1
"ENSBTAG00000037605",0.000149681976111057,-0.679040366801069,0.102,0.166,1
"RPS3",0.000157629986887349,-0.2782061023595,0.782,0.803,1
"LRRFIP1",0.000173610195629862,0.567080044544201,0.304,0.219,1
"PRPF40A",0.000175019229574132,0.390384498044464,0.292,0.194,1
"CDC5L",0.000206699092670388,0.407241162862165,0.178,0.107,1
"AFF4",0.000207800758182529,0.410705584357726,0.235,0.154,1
"USP9X",0.000209721928532215,0.370589503345713,0.149,0.082,1
"ENSBTAG00000013919",0.000213928380081809,-0.458095261022267,0.531,0.575,1
"USP7",0.000219562908058159,0.358327408176328,0.126,0.065,1
"SMCHD1",0.000222010328506579,0.365585533684328,0.175,0.102,1
"ECPAS",0.0002375951703343,0.337469257751889,0.117,0.059,1
"CXCL9",0.000239281529417446,-1.1498077602368,0.08,0.137,1
"ND4L",0.000240181483360546,0.620671875906508,0.29,0.211,1
"TCEA1",0.00027386951097037,0.27380879632597,0.151,0.084,1
"RPS21",0.000281552221362378,-0.298349893943686,0.651,0.687,1
"RBM39",0.000282507661129292,0.409996063844334,0.454,0.365,1
"SIRT1",0.000285823111955951,0.433497995720751,0.124,0.065,1
"CIRBP",0.000306717051378866,0.337062505983488,0.333,0.234,1
"CFD",0.000330776239380018,0.66972330205761,0.212,0.137,1
"RNF10",0.000348074667906301,0.369022746915067,0.194,0.119,1
"ZC3H15",0.000353282505897358,0.308000248850089,0.166,0.097,1
"MYLIP",0.000354238531492954,0.374724742781208,0.196,0.122,1
"BDP1",0.000384669228796764,0.425296943402885,0.102,0.05,1
"CFAP36",0.000397362823860511,0.396723225157283,0.168,0.1,1
"NFKB1",0.000402487388133106,0.492006647740739,0.154,0.092,1
"IFRD1",0.000409101444365822,0.299871499912999,0.256,0.167,1
"RBM5",0.000425064816054149,0.308876011536573,0.13,0.07,1
"HELZ",0.000428123302074759,0.417693839079336,0.119,0.064,1
"RB1CC1",0.00044024602695731,0.370074758242797,0.107,0.054,1
"LYZ",0.000471259546612832,0.375284304009405,0.479,0.366,1
"NMT1",0.000472202390852563,0.29806578909765,0.144,0.08,1
"RPL10A",0.000550519445423502,-0.301129165417353,0.658,0.684,1
"DOCK8",0.000555634175529156,0.443621477647745,0.109,0.057,1
"SNRNP48",0.000575778555616312,0.31973836194573,0.129,0.07,1
"QARS1",0.000601137310153881,0.33600460924018,0.101,0.05,1
"ZFP36L1",0.000661208139919445,0.320994497153374,0.537,0.421,1
"EWSR1",0.000702028627121331,0.398555147113273,0.13,0.074,1
"NIN",0.00070651520621893,0.370939993843668,0.112,0.06,1
"BOD1L1",0.00073253386623432,0.539097715785982,0.242,0.169,1
"TYROBP",0.000753338052308611,0.318368882623558,0.554,0.435,1
"IL2RG",0.000767750039287063,0.454560262738863,0.125,0.07,1
"PTBP1",0.000791240058406659,0.287587671952095,0.153,0.09,1
"HUWE1",0.0008113876473375,0.270761309510349,0.162,0.097,1
"CWC25",0.000835317471693838,0.372070772515813,0.118,0.065,1
"CHD4",0.000846997314382394,0.492498129633856,0.183,0.117,1
"RNF19A",0.000890443826962431,0.432533185260954,0.2,0.134,1
"GOLGB1",0.000917422859700534,0.336164574263442,0.184,0.115,1
"BRD2",0.00094105133578043,0.34440435725978,0.371,0.276,1
"TCF25",0.000973437781819485,0.377228300996145,0.141,0.084,1
"BAZ1B",0.000981921333759548,0.457821263245075,0.13,0.075,1
"TAGLN2",0.00102389240925749,-0.490228277090868,0.286,0.348,1
"RALBP1",0.00107365633969592,0.433654560484566,0.116,0.065,1
"RBM27",0.0011611463447229,0.320612123384805,0.171,0.107,1
"ARID4A",0.00132823679993368,0.35441991171905,0.365,0.278,1
"CCAR1",0.00134762943407857,0.365337341043931,0.108,0.059,1
"DDX24",0.00135179457116165,0.254329249264269,0.2,0.132,1
"SFPQ",0.00142624163725516,0.440280989976997,0.417,0.338,1
"ELL2",0.00145567922773181,0.255189833996748,0.107,0.057,1
"ND4",0.00146126409708122,0.542262566862696,0.889,0.846,1
"BOLA",0.00149508828862616,-0.294585632407888,0.874,0.844,1
"EIF5B",0.00154141215710304,0.372566680214435,0.297,0.221,1
"ARID1A",0.00163031094687466,0.414723292333695,0.121,0.07,1
"RPS25",0.00169784593008194,-0.250343842412503,0.715,0.768,1
"USP16",0.00169897819726228,0.25461517033498,0.13,0.075,1
