"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.47889967994898,0.595,0.251,0,"DC_g1","CCL17"
"2",0,1.28965681974209,0.815,0.508,0,"DC_g1","CD1B"
"3",0,1.26118391522146,0.803,0.58,0,"DC_g1","FABP5"
"4",0,1.1923907025802,0.83,0.385,0,"DC_g1","C18H19orf33"
"5",0,1.18253722320934,0.413,0.167,0,"DC_g1","GADD45G"
"6",0,1.15850361720108,0.745,0.48,0,"DC_g1","CFD"
"7",0,1.15695451640172,0.945,0.638,0,"DC_g1","GPR183"
"8",0,1.02585076797525,0.744,0.428,0,"DC_g1","ECM1"
"9",0,0.972515033902673,0.896,0.717,0,"DC_g1","LYZ"
"10",0,0.970778019284023,0.856,0.672,0,"DC_g1","TNFAIP3"
"11",0,0.942148101754742,0.681,0.409,0,"DC_g1","TMEM158"
"12",0,0.916635974022803,0.989,0.84,0,"DC_g1","TYROBP"
"13",0,0.888315480330715,0.235,0.01,0,"DC_g1","EHF"
"14",0,0.869623380509374,0.997,0.916,0,"DC_g1","NFKBIA"
"15",0,0.856442839387938,0.6,0.319,0,"DC_g1","CD1E"
"16",0,0.851588128355871,0.839,0.568,0,"DC_g1","IRF4"
"17",0,0.802853024965303,0.397,0.156,0,"DC_g1","C15H11orf96"
"18",3.12000178851165e-297,0.861654729447736,0.829,0.62,5.03973888898288e-293,"DC_g1","IER3"
"19",6.60701105604076e-219,1.19707557550203,0.247,0.074,1.06723049588226e-214,"DC_g1","GRO1"
"20",4.17852021274863e-105,0.814462587646969,0.257,0.132,6.74956369965286e-101,"DC_g1","CXCL8"
"21",6.34363929149477e-109,1.07527311170468,0.257,0.798,1.02468805475515e-104,"DC_g2","ND4L"
"22",1.73195546811175e-103,1.07060918168529,0.232,0.723,2.7976276676409e-99,"DC_g2","RRBP1"
"23",1.22316495282957e-88,1.04518170156907,0.235,0.694,1.9757783483056e-84,"DC_g2","DYNC1H1"
"24",1.40870804449772e-81,1.14216482625221,0.214,0.634,2.27548610427717e-77,"DC_g2","ATP8"
"25",9.04271269532189e-81,0.977154761436022,0.212,0.627,1.46066938167535e-76,"DC_g2","BOD1L1"
"26",3.00549351414286e-73,0.989105321435149,0.344,0.91,4.85477367339496e-69,"DC_g2","RBM25"
"27",1.07293185029873e-66,1.27064312732964,0.672,0.996,1.73310681778754e-62,"DC_g2","ND3"
"28",4.19665193962323e-66,1.15719161563062,0.22,0.602,6.77885187807341e-62,"DC_g2","HDLBP"
"29",1.62091926050722e-50,1.21365004444347,0.328,0.799,2.61827088149731e-46,"DC_g2","ANKRD11"
"30",2.2050578559291e-49,1.23024807093474,0.241,0.6,3.56182995468228e-45,"DC_g2","SRSF11"
"31",9.76717442178389e-43,1.82898937613027,0.837,0.996,1.57769168435075e-38,"DC_g2","COX2"
"32",1.9140728212543e-40,0.910962778529667,0.385,0.897,3.09180182817207e-36,"DC_g2","SFPQ"
"33",9.31304909725225e-32,1.75427079013541,0.872,0.997,1.50433682067916e-27,"DC_g2","CYTB"
"34",2.69595764704377e-17,1.76217613581561,0.871,0.998,4.3547803872698e-13,"DC_g2","ATP6"
"35",4.2051135384521e-14,1.67506543436425,0.871,0.998,6.79251989866167e-10,"DC_g2","ND4"
"36",2.31192209373091e-12,1.83617348251608,0.947,0.999,3.73444775800354e-08,"DC_g2","COX3"
"37",2.73899787177705e-07,1.80223050041316,0.886,0.998,0.00442430326228147,"DC_g2","COX1"
"38",4.50713042884378e-06,1.78309811458491,0.869,0.998,0.0728036778171135,"DC_g2","ND2"
"39",8.92963114483705e-06,0.925273033553882,0.487,0.926,0.144240331882553,"DC_g2","RBBP6"
"40",0.00836402378876681,1.3671797520221,0.565,0.992,1,"DC_g2","ND5"
"41",0,3.6873915256108,0.608,0.081,0,"DC_g4","CXCL9"
"42",0,1.77343685216966,0.953,0.454,0,"DC_g4","DNASE1L3"
"43",0,1.643224485313,0.98,0.81,0,"DC_g4","TXN"
"44",0,1.50474734816142,0.864,0.443,0,"DC_g4","ENO3"
"45",0,1.30677685293609,0.971,0.781,0,"DC_g4","WARS1"
"46",0,1.25282823592158,0.383,0.021,0,"DC_g4","IL12B"
"47",0,1.15419808283437,0.977,0.803,0,"DC_g4","UCP2"
"48",0,1.10220729754924,0.977,0.818,0,"DC_g4","TAGLN2"
"49",0,0.997328426091379,0.965,0.78,0,"DC_g4","BATF3"
"50",0,0.957622455457722,0.906,0.519,0,"DC_g4","C3H1orf54"
"51",0,0.957252471424375,0.991,0.898,0,"DC_g4","VIM"
"52",0,0.955265227299722,0.976,0.833,0,"DC_g4","SERPINB1"
"53",0,0.948626376619401,0.97,0.771,0,"DC_g4","CD48"
"54",0,0.944870190217028,0.817,0.35,0,"DC_g4","UBD"
"55",0,0.894246822594156,0.792,0.314,0,"DC_g4","IFI27L2"
"56",0,0.888843246837846,0.983,0.885,0,"DC_g4","BLA-DQB"
"57",0,0.853767373401628,0.991,0.904,0,"DC_g4","LGALS1"
"58",0,0.82383968361644,0.847,0.393,0,"DC_g4","FAM229A"
"59",2.43515313523426e-256,0.809669065424174,0.93,0.746,3.9335028593439e-252,"DC_g4","ENSBTAG00000009656"
"60",1.90096166229313e-223,0.973771707645902,0.741,0.467,3.07062337310209e-219,"DC_g4","ENSBTAG00000037605"
"61",0,2.21379980246189,0.51,0.068,0,"DC_g3","ENSBTAG00000047449"
"62",0,1.43025324523905,0.684,0.063,0,"DC_g3","RBP4"
"63",0,1.39443915670225,0.717,0.294,0,"DC_g3","PSPH"
"64",0,1.37424489395662,0.823,0.3,0,"DC_g3","C10orf99"
"65",0,1.18489633715621,0.581,0.014,0,"DC_g3","EPCAM"
"66",0,1.15077742171968,0.998,0.983,0,"DC_g3","RPS6"
"67",0,0.968594585255973,0.947,0.764,0,"DC_g3","ARID4A"
"68",0,0.939131145344778,0.735,0.423,0,"DC_g3","BCKDHB"
"69",0,0.886005157871317,0.702,0.342,0,"DC_g3","MISP3"
"70",0,0.864583057115461,0.627,0.254,0,"DC_g3","RARRES1"
"71",0,0.843688282216817,0.405,0.089,0,"DC_g3","S100B"
"72",0,0.720379639406523,0.378,0.032,0,"DC_g3","ENSBTAG00000034220"
"73",3.65268301694306e-302,0.789923280125482,0.907,0.749,5.90017887726812e-298,"DC_g3","AKAP13"
"74",2.29019016844919e-265,0.75389824785536,0.942,0.838,3.69934417909598e-261,"DC_g3","CMTM6"
"75",4.59350118010798e-256,0.709170230311513,0.376,0.121,7.41988245622842e-252,"DC_g3","SLC4A4"
"76",9.18150819957107e-248,0.765527137396624,0.767,0.532,1.48308901947671e-243,"DC_g3","CLINT1"
"77",3.47854350256411e-205,0.714204255568766,0.77,0.605,5.61889131969181e-201,"DC_g3","PRDX5"
"78",2.36179975046467e-175,0.823369858775276,0.357,0.138,3.81501513692559e-171,"DC_g3","CYP26B1"
"79",3.55467850614175e-172,0.86231657038262,0.608,0.388,5.74187219097076e-168,"DC_g3","REV3L"
"80",2.0660129178862e-170,0.717116476211407,0.82,0.642,3.33723066626158e-166,"DC_g3","KCTD20"
"81",0,4.48668759852215,0.951,0.017,0,"DC_g5","LTB"
"82",0,4.41226949688236,0.98,0.018,0,"DC_g5","PLAC8B"
"83",0,3.91094796226484,0.99,0.057,0,"DC_g5","GRN"
"84",0,3.63337874079907,0.961,0.045,0,"DC_g5","DERL3"
"85",0,3.45068643173214,0.765,0.006,0,"DC_g5","JCHAIN"
"86",0,3.35710063392829,0.627,0,0,"DC_g5","LY6D"
"87",0,3.31509028991857,0.961,0.058,0,"DC_g5","FYB1"
"88",0,2.80823697455743,0.912,0.004,0,"DC_g5","SELL"
"89",0,2.59779152391071,0.902,0.007,0,"DC_g5","ADA2"
"90",0,2.48797796192041,0.863,0.006,0,"DC_g5","ENSBTAG00000003408"
"91",8.46357614957404e-216,3.65429099749995,1,0.109,1.36712145544069e-211,"DC_g5","LY6E"
"92",3.6310233558195e-215,4.76181118101536,0.99,0.108,5.86519202665524e-211,"DC_g5","CD52"
"93",2.26922605692804e-203,3.71437341267141,1,0.118,3.66548084975587e-199,"DC_g5","PLD4"
"94",2.25343342208974e-180,4.34506451548992,1,0.136,3.63997100670155e-176,"DC_g5","FCER1G"
"95",1.30329272827603e-92,4.09566251572044,1,0.347,2.10520874398428e-88,"DC_g5","LAPTM5"
"96",1.50309623968129e-81,2.62248502552122,0.98,0.366,2.42795135595719e-77,"DC_g5","CTSD"
"97",6.63747683939942e-79,2.56644626731793,0.99,0.412,1.07215163386819e-74,"DC_g5","CHID1"
"98",1.43643687056898e-75,4.81413166406043,1,0.516,2.32027647703007e-71,"DC_g5","CTSS"
"99",8.44742449673704e-74,3.14870498565549,0.892,0.287,1.36451247895793e-69,"DC_g5","SOD1"
"100",7.70124290978002e-58,2.68872900322778,0.961,0.62,1.24398176721677e-53,"DC_g5","CYSTM1"
